attr;boolean;deprecated;tags;doc;url
inputmode;0;0;textarea,contenteditable;Provides a hint as to the type of data that might be entered by the user while editing the element or its contents. The attribute can be used with form controls (such as the value of textarea elements), or in elements in an editing host (e.g., using contenteditable attribute).;https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/inputmode
ismap;1;0;img;Indicates that the image is part of a server-side image map.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
itemprop;0;0;global;The itemprop global attribute is used to add properties to an item. Every HTML element can have an itemprop attribute specified, and an itemprop consists of a name-value pair. Each name-value pair is called a property, and a group of one or more properties forms an item. Property values are either a string or a URL and can be associated with a very wide range of elements including <audio>, <embed>, <iframe>, <img>, <link>, <object>, <source> , <track>, and <video>.;https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/itemprop
keytype;0;1;keygen;Specifies the type of key generated.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
kind;0;0;track;Specifies the kind of text track.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
label;0;0;optgroup,option,track;Specifies a user-readable title of the element.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
lang;0;0;global;Defines the language used in the element.;https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/lang
language;0;0;script;Defines the script language used in the element.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
loading;0;0;img,iframe;Indicates if the element should be loaded lazily (loading="lazy") or loaded immediately (loading="eager"). WIP: WHATWG PR #3752;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
list;0;0;input;Identifies a list of pre-defined options to suggest to the user.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
loop;1;0;audio,bgsound,marquee,video;Indicates whether the media should start playing from the start when it's finished.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
low;0;0;meter;Indicates the upper bound of the lower range.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
manifest;0;1;html;Specifies the URL of the document's cache manifest. Note: This attribute is obsolete, use <link rel="manifest"> instead.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
max;0;0;input,meter,progress;Indicates the maximum value allowed.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/max
maxlength;0;0;input,textarea;Defines the maximum number of characters allowed in the element.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/maxlength
minlength;0;0;input,textarea;Defines the minimum number of characters allowed in the element.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/minlength
media;0;0;a,area,link,source,style;Specifies a hint of the media for which the linked resource was designed.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
method;0;0;form;Defines which HTTP method to use when submitting the form. Can be GET (default) or POST.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
min;0;0;input,meter;Indicates the minimum value allowed.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/min
multiple;1;0;input,select;Indicates whether multiple values can be entered in an input of the type email or file.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/multiple
muted;1;0;audio,video;Indicates whether the audio will be initially silenced on page load.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
name;0;0;button,form,fieldset,iframe,input,keygen,object,output,select,textarea,map,meta,param;Name of the element. For example used by the server to identify the fields in form submits.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
novalidate;1;0;form;This attribute indicates that the form shouldn't be validated when submitted.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
open;1;0;details;Indicates whether the details will be shown on page load.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
optimum;0;0;meter;Indicates the optimal numeric value.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
pattern;0;0;input;Defines a regular expression which the element's value will be validated against.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/pattern
ping;0;0;a,area;The ping attribute specifies a space-separated list of URLs to be notified if a user follows the hyperlink.;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/a#attr-ping
placeholder;0;0;input,textarea;Provides a hint to the user of what can be entered in the field.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
poster;0;0;video;A URL indicating a poster frame to show until the user plays or seeks.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
preload;0;0;audio,video;Indicates whether the whole resource, parts of it or nothing should be preloaded.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
